size,level,a,b,metric,mean,se,n,n_clusters,condition
8.0,0.1,svm_hinge,svm,test_oracle_cost,-0.02769527100868164,0.0025801176142938084,478,96,noise
8.0,0.2,svm_hinge,svm,test_oracle_cost,-0.044405724713388856,0.003330786915604053,478,96,noise
8.0,0.3,svm_hinge,svm,test_oracle_cost,-0.0594600577158986,0.005741304025433337,478,96,noise
16.0,0.0,svm_hinge,svm,test_oracle_cost,-0.02096680263421932,0.0027837837641603892,408,88,noise
16.0,0.05,svm_hinge,svm,test_oracle_cost,-0.03460910488586005,0.0029762025623323125,408,88,noise
16.0,0.1,svm_hinge,svm,test_oracle_cost,-0.04682632157794563,0.0037208696412930277,408,88,noise
16.0,0.2,svm_hinge,svm,test_oracle_cost,-0.07322406237279541,0.004283642691139629,408,88,noise
16.0,0.3,svm_hinge,svm,test_oracle_cost,-0.09170986522227861,0.006146810076324773,408,88,noise
8.0,0.0,svm_C0.1,svm,test_ap,0.00529046340026746,0.002288157502245408,478,96,noise
8.0,0.05,svm_C0.1,svm,test_ap,0.01775342996173019,0.0017662496295154813,478,96,noise
8.0,0.1,svm_C0.1,svm,test_ap,0.03181453790587801,0.0027906678507928174,478,96,noise
8.0,0.2,svm_C0.1,svm,test_ap,0.06593878955048357,0.0059034558715094256,478,96,noise
8.0,0.3,svm_C0.1,svm,test_ap,0.08178381729010413,0.009825895460627577,478,96,noise
16.0,0.0,svm_C0.1,svm,test_ap,0.010074879286376662,0.0031744161698402914,408,88,noise
16.0,0.05,svm_C0.1,svm,test_ap,0.030398962064249236,0.0037893410386135125,408,88,noise
16.0,0.1,svm_C0.1,svm,test_ap,0.05252764039728522,0.0051630657868562205,408,88,noise
16.0,0.2,svm_C0.1,svm,test_ap,0.09544855173743301,0.008284888312636763,408,88,noise
16.0,0.3,svm_C0.1,svm,test_ap,0.11979707719386253,0.013514988676997953,408,88,noise
8.0,0.0,svm_C0.1,svm,test_auroc,0.009276736982372353,0.0015116190312751002,478,96,noise
8.0,0.05,svm_C0.1,svm,test_auroc,0.009591956604392613,0.0014114821274127855,478,96,noise
8.0,0.1,svm_C0.1,svm,test_auroc,0.011186536213314845,0.0014566455254647994,478,96,noise
8.0,0.2,svm_C0.1,svm,test_auroc,0.01454592106673252,0.0018988367447396104,478,96,noise
8.0,0.3,svm_C0.1,svm,test_auroc,0.017188116223322676,0.003622522810423286,478,96,noise
16.0,0.0,svm_C0.1,svm,test_auroc,0.016173068509644183,0.0021058786930232146,408,88,noise
16.0,0.05,svm_C0.1,svm,test_auroc,0.02000682806362735,0.00201076733466541,408,88,noise
16.0,0.1,svm_C0.1,svm,test_auroc,0.024855989883166875,0.002260484872595005,408,88,noise
16.0,0.2,svm_C0.1,svm,test_auroc,0.03209120801372636,0.0022754072732261914,408,88,noise
16.0,0.3,svm_C0.1,svm,test_auroc,0.03913059358057435,0.0032133400108841086,408,88,noise
8.0,0.0,svm_C0.1,svm,test_oracle_cost,-0.01808536253831634,0.002548676499081826,478,96,noise
8.0,0.05,svm_C0.1,svm,test_oracle_cost,-0.021877880030327507,0.002503766953510629,478,96,noise
8.0,0.1,svm_C0.1,svm,test_oracle_cost,-0.02868814880034731,0.0025077792477345845,478,96,noise
8.0,0.2,svm_C0.1,svm,test_oracle_cost,-0.04134373060453089,0.003124631662839011,478,96,noise
8.0,0.3,svm_C0.1,svm,test_oracle_cost,-0.05204228039047467,0.0052176309939819775,478,96,noise
16.0,0.0,svm_C0.1,svm,test_oracle_cost,-0.028632597741799926,0.0036282847659610705,408,88,noise
16.0,0.05,svm_C0.1,svm,test_oracle_cost,-0.04096217315064836,0.003579478368713696,408,88,noise
16.0,0.1,svm_C0.1,svm,test_oracle_cost,-0.051845715924388705,0.004115702496757522,408,88,noise
16.0,0.2,svm_C0.1,svm,test_oracle_cost,-0.07140859398425078,0.004051224783522673,408,88,noise
16.0,0.3,svm_C0.1,svm,test_oracle_cost,-0.08940501991114677,0.005989094523106493,408,88,noise
4.0,0.0,svm,lr,test_ap,0.003405401856867301,0.0015991454613637841,480,96,misvote
4.0,1.0,svm,lr,test_ap,0.002023573376749445,0.0016175604453361248,480,96,misvote
8.0,0.0,svm,lr,test_ap,-0.0011807747302405361,0.001685252627119504,478,96,misvote
8.0,1.0,svm,lr,test_ap,-0.0017867949558396032,0.0015499163829240646,478,96,misvote
16.0,0.0,svm,lr,test_ap,-0.0019105973139492628,0.002381880868207158,408,88,misvote
16.0,1.0,svm,lr,test_ap,-6.311538832293729e-05,0.002550899711249829,408,88,misvote
4.0,0.0,svm,lr,test_auroc,0.010334786060166823,0.001240776900251909,480,96,misvote
4.0,1.0,svm,lr,test_auroc,0.008328261539216565,0.0011136414812270164,480,96,misvote
8.0,0.0,svm,lr,test_auroc,0.002545318951694351,0.0009915324145152943,478,96,misvote
8.0,1.0,svm,lr,test_auroc,0.0017640677932629946,0.0009859186186135696,478,96,misvote
16.0,0.0,svm,lr,test_auroc,-0.0029760765477159453,0.001217860422295051,408,88,misvote
16.0,1.0,svm,lr,test_auroc,-0.003092894186670019,0.0011896539219484596,408,88,misvote
4.0,0.0,svm,lr,test_oracle_cost,-0.015374047690684138,0.002102822261469932,480,96,misvote
4.0,1.0,svm,lr,test_oracle_cost,-0.012805610593565313,0.0018685878325815665,480,96,misvote
8.0,0.0,svm,lr,test_oracle_cost,-0.004347863822643233,0.0015723332357107868,478,96,misvote
8.0,1.0,svm,lr,test_oracle_cost,-0.0033901206007860524,0.0018150962870572308,478,96,misvote
16.0,0.0,svm,lr,test_oracle_cost,0.005261358798883597,0.0022331137195499232,408,88,misvote
16.0,1.0,svm,lr,test_oracle_cost,0.004956731230510057,0.002197133362413792,408,88,misvote
4.0,0.0,svm,lrconv_C1,test_ap,-0.009331039587669744,0.0015242374448842726,480,96,misvote
4.0,1.0,svm,lrconv_C1,test_ap,-0.006127135244143069,0.0014446666691720924,480,96,misvote
8.0,0.0,svm,lrconv_C1,test_ap,-0.009322971878245255,0.0020805919609219264,478,96,misvote
8.0,1.0,svm,lrconv_C1,test_ap,-0.006678194258477791,0.002002140586092533,478,96,misvote
16.0,0.0,svm,lrconv_C1,test_ap,-0.011293516509451991,0.0029993630786188208,408,88,misvote
16.0,1.0,svm,lrconv_C1,test_ap,-0.007864521442096416,0.0030011138327197223,408,88,misvote
4.0,0.0,svm,lrconv_C1,test_auroc,-0.00971502765373904,0.0012612293645367346,480,96,misvote
4.0,1.0,svm,lrconv_C1,test_auroc,-0.00842884024666198,0.0012087894392166683,480,96,misvote
