size,arm,active_frac,wnorm,cos_svm,cos_lrconv1,cos_centroid,train_auroc
4,centroid,1.0,0.431185176006211,0.9699200401503216,0.9984045837160048,1.0,0.9990234375
4,lr,0.7860416666666666,5.299582927239445,0.7658334625053386,0.7501731966437516,0.7430891194037196,1.0
4,lr_ep2000,0.00010416666666666667,17.054725741242624,0.8274438641970996,0.775880849656928,0.7596325841225927,1.0
4,lr_nosmooth,0.7610416666666667,5.386563338405216,0.7648499392722318,0.7510209768914351,0.744416195177968,1.0
4,lr_unbal,0.306875,4.880152924290354,0.6781791852756455,0.6503424396780562,0.6445190573437057,0.9998372395833334
4,lr_zeroinit,0.7855208333333333,5.264298356358938,0.7710483228438918,0.7552596399281232,0.7481337532821627,1.0
4,lrconv_C0.01,1.0,0.021499592759181497,0.9700713953647355,0.9984447720989859,0.9999997406846642,0.9990234375
4,lrconv_C0.1,1.0,0.20979576668539401,0.9713773044227257,0.9987739663474251,0.9999754590914888,0.99912109375
4,lrconv_C1,1.0,1.707002290097504,0.9806863582603409,1.0,0.9984045837160048,0.9995442708333333
4,lrconv_C10,0.10364583333333334,7.215324497970542,0.9956302738558341,0.9891498985517495,0.9798440182309658,1.0
4,lrconv_C100,0.0005208333333333333,15.912248329943449,0.990814195736764,0.964646166355234,0.9504055535425948,1.0
4,mlp,,,,,,0.9998046875
4,ridge_a0.1,0.9514583333333333,4.476074610614714,0.9808251942504785,0.9408289719896507,0.9233102124179674,1.0
4,ridge_a1,1.0,2.148819268460167,0.993391535379773,0.9948010959520511,0.98768279160903,0.9999674479166667
4,ridge_a10,1.0,0.3887202547110358,0.975191400344464,0.9995373698067278,0.999657985186338,0.99931640625
4,svm,0.9998958333333333,2.93813302196669,1.0,0.9806863582603409,0.9699200401503216,1.0
4,svm_C0.01,1.0,0.08361560509075226,0.9738600962544335,0.9981111624567692,0.9993281446409853,0.99912109375
4,svm_C0.1,1.0,0.699451744990815,0.9835476516108576,0.9967746193615812,0.9955217801311044,0.9994466145833333
4,svm_C10,0.9258333333333333,4.890089858992402,0.9758015202048009,0.924136901221424,0.9055450935223448,1.0
4,svm_C100,0.880625,5.401163869522928,0.9610259343859149,0.9030686738096245,0.883187005800646,1.0
4,svm_hinge,0.8506250000000001,3.6301526581123142,0.9846603549883782,0.9907801754314678,0.9871996136832709,0.99931640625
4,svm_unbal,0.9979166666666667,2.435801733296398,0.9959752658265734,0.9688231095325386,0.9579875072428715,1.0
8,centroid,1.0,0.35067214858374096,0.9366784844540847,0.9951604114638616,1.0,0.9891638336820083
8,lr,0.8872384937238494,5.400015833957912,0.7628523264748225,0.7513016842973964,0.737194248629752,0.9993789225941423
8,lr_ep2000,0.001098326359832636,21.150533433131265,0.8320892284061878,0.7531874334714123,0.7189346413081493,1.0
8,lr_nosmooth,0.8716527196652719,5.473541966462413,0.7605876011128637,0.751840910651031,0.7387053819327304,0.9991664487447699
