size,arm,test_ap,test_auroc,test_oracle_cost
4,centroid,0.5100512250677666,0.8504598884094868,0.34085479405496605
4,lr,0.49686426690127256,0.8304020182176453,0.3743734889789295
4,lr_ep2000,0.47752546013908254,0.8142237535088784,0.4012089884043508
4,lr_nosmooth,0.49771034497444544,0.8311304896123592,0.37328447147192517
4,lr_unbal,0.39672506309498434,0.7535995614021753,0.4862592610609788
4,lr_zeroinit,0.4973000229592647,0.8310042171738853,0.3743239115685784
4,lrconv_C0.01,0.5100773616736568,0.8504659894819322,0.3408433398879761
4,lrconv_C0.1,0.510293434898452,0.8505009089641621,0.34095048814029305
4,lrconv_C1,0.511237319727875,0.8503001761879122,0.34207308345741455
4,lrconv_C10,0.5084019033299092,0.8451494786653336,0.3521015121062561
4,lrconv_C100,0.5000540379901223,0.8371087660869738,0.36566237772606125
4,mlp,0.4965928739401805,0.8234899826367296,0.3808210329718309
4,ridge_a0.1,0.4941100539627288,0.830479459015984,0.3763233424376471
4,ridge_a1,0.5102927431458728,0.8474329276012966,0.3478003754305929
4,ridge_a10,0.5108860864831561,0.8505178880792337,0.34127749016533415
4,svm,0.5025984903524549,0.8404271807225095,0.35931976822672074
4,svm_C0.01,0.5086633883075458,0.8491071593505108,0.34297042086280727
4,svm_C0.1,0.5070994911524757,0.8472679244733723,0.3466254821262237
4,svm_C10,0.4843957076875286,0.8233105548412186,0.38750776229244255
4,svm_C100,0.47728504455984777,0.817288095047611,0.39859058837715383
4,svm_hinge,0.5087787467141559,0.847498693293773,0.34606389363002926
4,svm_unbal,0.49403172840273984,0.8322664504606679,0.37200394527898434
8,centroid,0.55545946082252,0.8796945561605932,0.2943894644638253
8,lr,0.5529495215896947,0.8654194023708675,0.31642273852468394
8,lr_ep2000,0.5252251724473217,0.8430012180617249,0.3584296253896453
8,lr_nosmooth,0.553278997717916,0.8658978892232652,0.3156308642461974
8,lr_unbal,0.44392109478299396,0.7832656079708489,0.44009187072548445
8,lr_zeroinit,0.5532446976919898,0.8660006620495628,0.31578300861348196
8,lrconv_C0.01,0.5555090451006025,0.8797048602329504,0.29437975630191243
8,lrconv_C0.1,0.5562277813519859,0.8797735940253806,0.29421873285319405
8,lrconv_C1,0.5588230011268982,0.8794105497053895,0.29460917496739436
8,lrconv_C10,0.5559435017971507,0.8715310883867069,0.30900944723081036
8,lrconv_C100,0.5425043764676235,0.8599317898449659,0.33022853378629
8,mlp,0.5500427029005558,0.8558531323352047,0.32964070356742325
8,ridge_a0.1,0.5321860685268958,0.8498467154218561,0.34772243797908975
8,ridge_a1,0.5588550200037473,0.8745661694463482,0.30283894267625927
8,ridge_a10,0.5575290356881877,0.8798126536887648,0.2939859674657497
8,svm,0.5519844192588458,0.867256651560811,0.31606051495833515
8,svm_C0.01,0.5546059325724985,0.8786076046866377,0.29591598484298887
8,svm_C0.1,0.5566572910857146,0.8776995706436258,0.2970187423362748
8,svm_C10,0.5238289788351757,0.8446587422880103,0.3571683358994207
8,svm_C100,0.5117461757941153,0.8367500942555353,0.3707883286085846
8,svm_hinge,0.5584566638231,0.8761364833247508,0.2986933539001869
8,svm_unbal,0.5452542445777702,0.8583527257479494,0.33051258588113136
16,centroid,0.5505585367388905,0.8821569901046903,0.29441270192602925
16,lr,0.5464895782796287,0.8685878020084619,0.31833508978483704
16,lr_ep2000,0.5145953765979715,0.8421106381781588,0.36570514155293127
16,lr_nosmooth,0.5469025320821262,0.8690151246276702,0.3172333037374409
16,lr_unbal,0.4244846134415333,0.7781512192853001,0.4573705730793388
16,lr_zeroinit,0.5473695084099861,0.8693895577091655,0.31718418684225763
16,lrconv_C0.01,0.5507069852545667,0.882191649616745,0.29439777089620744
