level,a,b,metric,mean,se,n,n_clusters,condition
80,svm_C0.1,svm,test_oracle_cost,-0.009249785679235034,0.0018723138390466104,480,96,replay_linear
150,svm_C0.1,svm,test_oracle_cost,-0.012894773379007882,0.002156652839403478,480,96,replay_linear
10,lr_ep2000,lr,test_ap,-0.005263899085771565,0.002838221099204411,480,96,replay_linear
20,lr_ep2000,lr,test_ap,-0.011179604851504068,0.0024850750120184962,480,96,replay_linear
40,lr_ep2000,lr,test_ap,-0.010150845699169781,0.0019348042974752073,480,96,replay_linear
80,lr_ep2000,lr,test_ap,-0.0071350077237175985,0.0020367034570695076,480,96,replay_linear
150,lr_ep2000,lr,test_ap,-0.005528928694101117,0.0019501891446656815,480,96,replay_linear
10,lr_ep2000,lr,test_auroc,-0.0038561568938241114,0.0012456135445771041,480,96,replay_linear
20,lr_ep2000,lr,test_auroc,-0.006507433051407516,0.001093639210497388,480,96,replay_linear
40,lr_ep2000,lr,test_auroc,-0.008160209095153694,0.0012417574200905333,480,96,replay_linear
80,lr_ep2000,lr,test_auroc,-0.009144208515881335,0.0013565556023935389,480,96,replay_linear
150,lr_ep2000,lr,test_auroc,-0.007642874095172353,0.0013073563214341148,480,96,replay_linear
10,lr_ep2000,lr,test_oracle_cost,0.0065762204231609315,0.002478736635971615,480,96,replay_linear
20,lr_ep2000,lr,test_oracle_cost,0.012996529831247595,0.002209185468659089,480,96,replay_linear
40,lr_ep2000,lr,test_oracle_cost,0.014622795977975242,0.002236394075669468,480,96,replay_linear
80,lr_ep2000,lr,test_oracle_cost,0.017497945708838853,0.0023789392133024404,480,96,replay_linear
150,lr_ep2000,lr,test_oracle_cost,0.015349270526491694,0.002270462682676659,480,96,replay_linear
10,mlp,svm,test_ap,-0.002604466374274777,0.0026277415301474245,480,96,replay_linear
20,mlp,svm,test_ap,-0.007893961215438755,0.0021865576005619947,480,96,replay_linear
40,mlp,svm,test_ap,-0.007224980977979362,0.0014022828527256183,480,96,replay_linear
80,mlp,svm,test_ap,-0.005692895582710135,0.0012804768163256128,480,96,replay_linear
150,mlp,svm,test_ap,-0.0041849823330931,0.0011533598165654742,480,96,replay_linear
10,mlp,svm,test_auroc,-0.01005071122907838,0.001973700722099181,480,96,replay_linear
20,mlp,svm,test_auroc,-0.01286573131219478,0.0018368052868318544,480,96,replay_linear
40,mlp,svm,test_auroc,-0.015849929179591785,0.002003675745094278,480,96,replay_linear
80,mlp,svm,test_auroc,-0.009773080598021133,0.0014995641504160048,480,96,replay_linear
150,mlp,svm,test_auroc,-0.008005381661531082,0.001225850041918033,480,96,replay_linear
10,mlp,svm,test_oracle_cost,0.017751387413476462,0.003281697112279761,480,96,replay_linear
20,mlp,svm,test_oracle_cost,0.02152928825768859,0.003123288373213111,480,96,replay_linear
40,mlp,svm,test_oracle_cost,0.025138838809819257,0.0029941869132617017,480,96,replay_linear
80,mlp,svm,test_oracle_cost,0.01612645764302711,0.0022743315439925325,480,96,replay_linear
150,mlp,svm,test_oracle_cost,0.013432633421464594,0.0020055244040141514,480,96,replay_linear
10,svm,lr,test_ap,0.007244775983909574,0.0020136866796713554,480,96,replay_svm
20,svm,lr,test_ap,0.011196176533727682,0.0019979203453118224,480,96,replay_svm
40,svm,lr,test_ap,0.008914366531332485,0.0018136387689592552,480,96,replay_svm
80,svm,lr,test_ap,0.008305177913587598,0.0018747809991012101,480,96,replay_svm
150,svm,lr,test_ap,0.007917004253395137,0.0021030137008599785,480,96,replay_svm
10,svm,lr,test_auroc,0.010522523472737152,0.0014127082811107852,480,96,replay_svm
20,svm,lr,test_auroc,0.013107947774882946,0.0015156012389617786,480,96,replay_svm
40,svm,lr,test_auroc,0.010656927270334264,0.00135747446979965,480,96,replay_svm
80,svm,lr,test_auroc,0.005948083554179878,0.001097425642043081,480,96,replay_svm
150,svm,lr,test_auroc,0.003754343445414711,0.0010987140637074406,480,96,replay_svm
10,svm,lr,test_oracle_cost,-0.019535305603074822,0.0025497924000620754,480,96,replay_svm
20,svm,lr,test_oracle_cost,-0.02429432271646965,0.0026155358178548147,480,96,replay_svm
40,svm,lr,test_oracle_cost,-0.01946801726207731,0.002347601809867573,480,96,replay_svm
80,svm,lr,test_oracle_cost,-0.01230627880302737,0.002185245850414356,480,96,replay_svm
150,svm,lr,test_oracle_cost,-0.007772519115030496,0.0016984743098166705,480,96,replay_svm
10,lrconv_C1,lr,test_ap,0.009556146687379998,0.0025108860055584577,480,96,replay_svm
20,lrconv_C1,lr,test_ap,0.011885514345773616,0.0021175252916452074,480,96,replay_svm
40,lrconv_C1,lr,test_ap,0.00945158836241675,0.0018000663345655082,480,96,replay_svm
80,lrconv_C1,lr,test_ap,0.007328245816499546,0.0015328836921569037,480,96,replay_svm
150,lrconv_C1,lr,test_ap,0.006033037642188921,0.0015305988967597086,480,96,replay_svm
10,lrconv_C1,lr,test_auroc,0.012918224800787692,0.0015034082367042423,480,96,replay_svm
20,lrconv_C1,lr,test_auroc,0.015910647842036798,0.0017773407925808853,480,96,replay_svm
40,lrconv_C1,lr,test_auroc,0.014165401443998355,0.0016267807298524489,480,96,replay_svm
80,lrconv_C1,lr,test_auroc,0.010574437819315505,0.001289963870450523,480,96,replay_svm
150,lrconv_C1,lr,test_auroc,0.008787302683363741,0.0011982577190634267,480,96,replay_svm
10,lrconv_C1,lr,test_oracle_cost,-0.02383712313127205,0.002813838000242956,480,96,replay_svm
20,lrconv_C1,lr,test_oracle_cost,-0.02911203475796874,0.0031352034310281637,480,96,replay_svm
40,lrconv_C1,lr,test_oracle_cost,-0.02557282081729049,0.002734365505874712,480,96,replay_svm
80,lrconv_C1,lr,test_oracle_cost,-0.020145569346613622,0.0024966818636014167,480,96,replay_svm
150,lrconv_C1,lr,test_oracle_cost,-0.016368036813324757,0.0020587730513322335,480,96,replay_svm
10,lrconv_C1,svm,test_ap,0.002311370703470425,0.0013800637350566045,480,96,replay_svm
20,lrconv_C1,svm,test_ap,0.0006893378120459328,0.0012561124038298766,480,96,replay_svm
40,lrconv_C1,svm,test_ap,0.0005372218310842653,0.001234339407555325,480,96,replay_svm
80,lrconv_C1,svm,test_ap,-0.0009769320970880531,0.0015621825792302942,480,96,replay_svm
150,lrconv_C1,svm,test_ap,-0.001883966611206216,0.0017378402598338643,480,96,replay_svm
10,lrconv_C1,svm,test_auroc,0.0023957013280505412,0.0005460404994481346,480,96,replay_svm
20,lrconv_C1,svm,test_auroc,0.0028027000671538515,0.000769176776378767,480,96,replay_svm
40,lrconv_C1,svm,test_auroc,0.0035084741736640898,0.0007494586709673164,480,96,replay_svm
80,lrconv_C1,svm,test_auroc,0.004626354265135627,0.0009280001214493102,480,96,replay_svm
150,lrconv_C1,svm,test_auroc,0.005032959237949029,0.0009295694369828313,480,96,replay_svm
10,lrconv_C1,svm,test_oracle_cost,-0.004301817528197227,0.0009963072905934214,480,96,replay_svm
20,lrconv_C1,svm,test_oracle_cost,-0.0048177120414990785,0.001413729349113737,480,96,replay_svm
40,lrconv_C1,svm,test_oracle_cost,-0.006104803555213182,0.0012802790365307186,480,96,replay_svm
80,lrconv_C1,svm,test_oracle_cost,-0.007839290543586251,0.0015970108686014963,480,96,replay_svm
150,lrconv_C1,svm,test_oracle_cost,-0.00859551769829426,0.0016881230387130982,480,96,replay_svm
10,svm_C0.1,svm,test_ap,0.0005112087677227086,0.0012583196083594214,480,96,replay_svm
20,svm_C0.1,svm,test_ap,-0.00022916921862121807,0.0011877270438705944,480,96,replay_svm
40,svm_C0.1,svm,test_ap,-0.00025167847257625577,0.0012560917292567322,480,96,replay_svm
80,svm_C0.1,svm,test_ap,-0.001237251287466916,0.0016414351681707181,480,96,replay_svm
150,svm_C0.1,svm,test_ap,-0.001949309445114399,0.0018426728850114713,480,96,replay_svm
10,svm_C0.1,svm,test_auroc,0.0013289121021752995,0.0005365813851563877,480,96,replay_svm
