dataset,sorts,median_n,median_prevalence,median_adm_frac,p90_adm_frac,median_adm_over_pos,share_separated,median_ashman_d,cost,f1
caltech101_m,100,838.0,0.028639618138424822,0.09486873508353222,0.4211217183770884,2.189950980392157,0.6,3.14217,0.13039425377787592,0.5732337149563137
coco_val,320,4952.0,0.025747172859450728,0.3956987075928917,0.47495961227786754,13.758936218165427,0.04375,0.9448915,0.4370678680113631,0.15638211679303482
vg_scale,300,12164.0,0.008220979940808944,0.44178359592713845,0.4911143126180588,53.57,0.0033333333333333335,1.140425,0.543386638262174,0.034900785181626905
visual_genome_m,400,4193.0,0.034462198902933464,0.4600524683997138,0.5237538755067971,12.38059772296015,0.07,1.20306,0.6200010864949556,0.17131895750881093
