rule,family,sorts,cost,excess_cost,precision,recall,f1,f1_gap,median_adm_frac,median_adm_over_pos,share_empty
oracle_cost,oracle,1120,0.35597543596328574,0.0,0.2602498189404423,0.7991277841460454,0.33961894134218884,0.16498418798921793,0.1371522911341751,4.856580645161291,0.0
quantile0.15,quantile,1120,0.42423522172206485,0.06825978575877906,0.13941353568974124,0.7093195725024497,0.19713708123395718,0.30746604809744965,0.1500119246362986,6.918478260869565,0.0
gmm_multistart,mixture,1120,0.4275524158395475,0.07157697987626176,0.1912668106205898,0.8069390080380046,0.2503939185572764,0.2542092107741304,0.25706050474547026,8.550228832951944,0.0
quantile0.1,quantile,1120,0.42930473443302963,0.07332929846974386,0.17919332011317327,0.6555184634829073,0.23662984931137965,0.2679732800200272,0.09995961227786752,4.6105072463768115,0.0
tail_z1.5,tail,1120,0.4304643494073338,0.07448891344404805,0.18671007539566623,0.6481836831152424,0.24307500967746556,0.26152811965394124,0.09164304178540181,4.3313725490196076,0.0
quantile0.2,quantile,1120,0.43269345824273653,0.07671802227945079,0.11696323288153793,0.7501134694497592,0.17258557480672201,0.3320175545246848,0.20001647930019845,9.22644927536232,0.0
gmm_converged,mixture,1120,0.43274941682658896,0.07677398086330321,0.17323999781783442,0.8284365535883682,0.2336312859757869,0.2709718433556199,0.29028675282714056,10.077099737532809,0.0
quantile0.07,quantile,1120,0.44519852445898167,0.08922308849569591,0.2241881981754318,0.6109735129440597,0.2755131017325033,0.22909002759890348,0.07007269789983844,3.2346185397867107,0.0
quantile0.05,quantile,1120,0.46764123147854786,0.11166579551526205,0.2769745321889697,0.5697352131183037,0.3141319429737527,0.19047118635765412,0.050080775444264945,2.307971014492754,0.0
tail_z2,tail,1120,0.4678870851391428,0.11191164917585701,0.27230314995646415,0.569252521301151,0.3061638853306358,0.19843924400077098,0.047253634894991924,2.4009803921568627,0.0008928571428571428
tail_fdr0.5,tail,1120,0.47613910945118465,0.12016367348789887,0.27414799990103716,0.5693559920866768,0.28889814476853104,0.21570498456287576,0.04942147694422622,2.360248447204969,0.029464285714285714
gmm_priorfree,mixture,1120,0.48140338385445114,0.12542794789116535,0.12099239684007347,0.8626676169603474,0.17448591781112768,0.3301172115202791,0.3997761289201519,15.632455562870309,0.0
gmm_shipped,mixture,1120,0.5034978296589806,0.1475223936956948,0.11621976191442235,0.8745998073732493,0.16639595306019192,0.3382071762712149,0.43090027396645914,16.842580213903744,0.0
otsu,exact,1120,0.5036993632111282,0.14772392724784242,0.11135326591851927,0.8725946337620694,0.1616125462059499,0.3429905831254569,0.4196728095062933,17.18804713804714,0.0
oracle_f1,oracle,1120,0.5100889298849074,0.1541134939216216,0.5184418443054658,0.5357542123887372,0.5046031293314067,0.0,0.023806359200108974,1.03,0.0
tail_fdr0.3,tail,1120,0.510415191410049,0.15443975544676325,0.3500379513084963,0.5151049326156102,0.32824012335964137,0.17636300597176546,0.02948303715670436,1.5300273224043717,0.04107142857142857
quantile0.03,quantile,1120,0.5163107339869918,0.1603352980237061,0.37599472789135047,0.503049864431388,0.36591217034407053,0.13869095898733627,0.03005008347245409,1.3792270531400965,0.0
tail_z2.5,tail,1120,0.517362216300994,0.1613867803377082,0.37067452486106384,0.5003052063342147,0.35652088933844145,0.14808223999296538,0.02544426494345719,1.4308469945355191,0.005357142857142857
gmm_guarded_fdr0.2,guarded,1120,0.5219047637867712,0.16592932782348535,0.3989048457798844,0.5054996453372305,0.35757036701457784,0.147032762316829,0.02386634844868735,1.2386746143057503,0.033928571428571426
tail_fdr0.2,tail,1120,0.5340211657245778,0.17804572976129204,0.3985879511609402,0.4838763599362687,0.345716016445083,0.15888711288632384,0.022537562604340568,1.2102631578947367,0.05267857142857143
gmm_guarded_z3,guarded,1120,0.5563274456763407,0.20035200971305495,0.4582519793984142,0.46298705335947615,0.388511897827753,0.11609123150365377,0.01494345718901454,1.0,0.0026785714285714286
tail_fdr0.1,tail,1120,0.5681274185001725,0.21215198253688666,0.4662545546504326,0.4429710661482232,0.36203865536379776,0.14256447396760905,0.01489036946670991,0.9154761904761904,0.06517857142857143
tail_z3,tail,1120,0.5721760413052048,0.21620060534191915,0.47070098944407923,0.4364372254358919,0.38000460325207963,0.12459852607932717,0.014136150871826425,0.9299122807017544,0.013392857142857142
quantile0.02,quantile,1120,0.5818244090524588,0.22584897308917304,0.44645011313347394,0.4296248449478902,0.3739208511804846,0.13068227815092215,0.020015586210104245,0.9235028712059065,0.0
tail_fdr0.05,tail,1120,0.5990362340796427,0.24306079811635695,0.5185135292668474,0.40840231262112686,0.3655602146231209,0.13904291470828598,0.010257692927117753,0.6613953488372093,0.08303571428571428
tail_z3.5,tail,1120,0.630497246576199,0.27452181061291325,0.5554996790281169,0.37382290182537037,0.37348084021768796,0.13112228911371884,0.008108752683043167,0.540440251572327,0.03214285714285714
tail_z4,tail,1120,0.6900030838801555,0.3340276479168698,0.6282563615411999,0.31215267088136195,0.343555429120089,0.1610477002113178,0.0046773070527892195,0.3,0.07321428571428572
quantile0.01,quantile,1120,0.7067029311091362,0.35072749514585033,0.542704124384478,0.29804693609010535,0.3313681394994026,0.17323498983200425,0.01001669449081803,0.4444444444444444,0.0
tail_z5,tail,1120,0.8039308421103407,0.447955406147055,0.7355481290490277,0.19659707017205635,0.2421818983230435,0.26242123100836334,0.0011924636298592892,0.07,0.2080357142857143
quantile0.005,quantile,1120,0.8124509702088591,0.4564755342455735,0.618467196693904,0.1895355391102049,0.25649567759867653,0.24810745173273027,0.005008347245409015,0.2222222222222222,0.0
