dataset,arm,steps,flagged_everything,flagged_nothing,fold_anchored_share,mean_threshold
coco_better,app,79795,0.0,0.006053010840278213,0.9432044614324205,0.3061729141048938
coco_better,app_gmm,79795,0.0,0.005539194185099317,0.0,0.3218089581552729
coco_better,app_xcal,79795,0.0001879817031142302,0.038135221505106835,0.0,0.39442753533429414
coco_better,gp_dot_anch,79795,0.0,0.007331286421454979,0.9432044614324205,0.16744707871420517
coco_better,gp_rbf_anch,79795,0.0058775612507049315,0.007130772604799799,0.9432044614324205,0.17487216200263173
coco_better,gp_rbf_anch_maxvar,79795,0.005852497023623034,0.007205965286045492,0.9432044614324205,0.18697161741963783
coco_better,gp_rbf_gmm,79795,0.005915157591327777,0.02460053888088226,0.0,0.1780784617331913
coco_better,gp_rbf_xcal,79795,0.1126261043925058,0.08580738141487562,0.0,0.23721893327902752
coco_val,app,44705,0.0,0.0,0.9927077508108713,0.3612670573313947
coco_val,app_gmm,44705,0.0,0.0,0.0,0.35518107135667154
coco_val,app_xcal,44705,6.710658763001902e-05,2.236886254333967e-05,0.0,0.41601390967453306
coco_val,gp_dot_anch,44705,0.0,0.0,0.9927077508108713,0.26266115257801137
coco_val,gp_rbf_anch,44705,0.003064534168437535,0.0021697796667039483,0.9927077508108713,0.2859580480259479
coco_val,gp_rbf_anch_maxvar,44705,0.0025724191924840624,0.0020355664914439102,0.9927077508108713,0.2954671208589643
coco_val,gp_rbf_gmm,44705,0.0019237221787272117,0.020601722402415836,0.0,0.25420245223129406
coco_val,gp_rbf_xcal,44705,0.054177385079968686,0.00610669947433173,0.0,0.2600911694888715
