window,scope,arm,ref,isolates,metric,ref_mean,arm_mean,mean,se,n,n_clusters,frac_arm_better,frac_tied
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",cost,0.39288707115628974,0.6639243799237611,0.2710373087674714,0.011637292446734232,787,288,0.13850063532401524,0.0
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",oracle_cost,0.23768817534942818,0.3293520787801779,0.09166390343074969,0.008479337015439195,787,288,0.25285895806861497,0.0038119440914866584
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",regret,0.15519889834815756,0.334572332909784,0.17937343456162644,0.0103319119217648,787,288,0.22109275730622618,0.0
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",average_precision,0.5226174828462515,0.47245696060991105,-0.050160522236340536,0.004777529443710568,787,288,0.24396442185514614,0.0
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",auroc,0.9105704701397713,0.8432595628970775,-0.06731090724269377,0.007150609065379227,787,288,0.23252858958068615,0.0025412960609911056
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",f1,0.11602535578144854,0.08661836086404066,-0.02940699491740788,0.00427474167142605,787,288,0.18297331639135958,0.0
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",fnr,0.0988331334180432,0.1432146404066074,0.04438150698856417,0.009150434848163856,787,288,0.35324015247776364,0.35578144853875476
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",fpr,0.29405394790343076,0.5207097484116899,0.22665580050825918,0.011976734499599769,787,288,0.20838627700127066,0.0
t10,ALL,gp_rbf_anch,app,"head, at the fold-anchored cut",n_good,3.1486658195679795,4.092757306226176,0.9440914866581956,0.055274355094944515,787,288,0.5705209656925032,0.37738246505717915
t10,ALL,gp_rbf_xcal,app_xcal,"head, at the plain x-cal cut",cost,0.4754733214739517,0.7032482426937738,0.2277749212198221,0.015181429479029455,787,288,0.2782719186785261,0.005082592121982211
