scope,arm,cost,oracle_cost,regret,average_precision,auroc,f1,fnr,fpr,n_good,n_cells,window
coco_better,app,0.45139414699792957,0.2674907370600414,0.18390342857142858,0.43239325879917184,0.8927831739130435,0.03440745755693581,0.1083108364389234,0.3430833291925466,2.9523809523809526,483,t10
coco_better,app_gmm,0.4805570393374741,0.2647224099378882,0.21583463146997928,0.42570142236024844,0.8948491118012423,0.022504140786749484,0.09525965424430642,0.3852973768115942,2.7370600414078674,483,t10
coco_better,app_xcal,0.5159774120082816,0.2702734016563147,0.24570401449275361,0.4527266542443064,0.8910162857142857,0.370712784679089,0.4518600207039338,0.06411742650103519,3.070393374741201,483,t10
coco_better,gp_dot_anch,0.6121645548654244,0.32965597929606627,0.28250860041407866,0.37471549482401656,0.8477959689440994,0.021760548654244306,0.1307137701863354,0.4814507991718427,3.0869565217391304,483,t10
coco_better,gp_rbf_anch,0.7243041262939959,0.37333865838509317,0.35096548861283644,0.38760194409937887,0.8143124285714286,0.0238374016563147,0.14299582608695655,0.5813082939958593,3.7681159420289854,483,t10
coco_better,gp_rbf_anch_maxvar,0.6913646894409938,0.3327953209109731,0.35856938509316766,0.3897846149068323,0.8440354037267082,0.0223100082815735,0.13117516977225674,0.5601895217391304,2.753623188405797,483,t10
coco_better,gp_rbf_gmm,0.6669688447204969,0.3652900683229814,0.30167876604554866,0.38948643892339546,0.8188492443064183,0.01605284679089027,0.20244942443064184,0.4645194057971015,3.271221532091097,483,t10
coco_better,gp_rbf_xcal,0.7291362028985506,0.3869846066252588,0.34215159420289853,0.37446409523809526,0.8067112049689441,0.17433364596273293,0.3382180020703934,0.390918215320911,3.351966873706004,483,t10
coco_val,app,0.2999301052631579,0.1903373947368421,0.10959268750000001,0.6659671546052631,0.9388312072368422,0.2457011611842105,0.08377480921052632,0.2161552927631579,3.460526315789474,304,t10
coco_val,app_gmm,0.3113739736842105,0.19128336842105262,0.12009064144736843,0.648967197368421,0.9412612236842106,0.21153860197368418,0.06046421052631579,0.2509097796052632,3.0657894736842106,304,t10
