head_arm,arm,env,n_cells,dead_step_rate,knob_yield,admitted_span,quantile_span,inert_rate
linear,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,144,0.37149373638344224,0.6461964415395788,0.9430222,1.6,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,144,0.40328839869281047,0.6159158107687519,0.9037729,1.6,0.0
linear,fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,144,0.11266339869281045,0.8927015250544661,0.9448054,0.9525434,0.0
svm,fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,144,0.05499046840958606,0.9476281253242037,0.9179321,0.9286318,0.0
linear,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip/whole_image,144,0.14244281045751633,0.8643401805166511,0.7496116,0.74471617,0.013888888888888888
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip/whole_image,144,0.13600217864923747,0.8704741155721547,0.7522614,0.74832636,0.027913943355119826
linear,fold_anchored_w0.3_mid_qmean,vg_scale/siglip/whole_image,144,1.0,0.047619047619047616,0.0,0.0,1.0
svm,fold_anchored_w0.3_mid_qmean,vg_scale/siglip/whole_image,144,1.0,0.047619047619047616,0.0,0.0,1.0
linear,fold_anchored_w0.3_mid_tilt_qmean,vg_scale/siglip/whole_image,144,0.14018927015250546,0.8664864093785662,0.87302274,0.8836416,0.0032679738562091504
svm,fold_anchored_w0.3_mid_tilt_qmean,vg_scale/siglip/whole_image,144,0.13487881263616558,0.8715439879655565,0.86048436,0.8677392,0.008033769063180827
linear,fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip/whole_image,144,0.06341911764705882,0.9396008403361343,0.10189005,0.1,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip/whole_image,144,0.06431781045751633,0.938744942421413,0.104058005,0.099999994,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip/whole_image,144,0.08799700435729847,0.9161933291835253,0.20008865,0.2,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip/whole_image,144,0.08975354030501088,0.9145204378047516,0.20455474,0.2,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip/whole_image,144,0.14691584967320262,0.8600801431683784,0.3636188,0.4,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip/whole_image,144,0.15947031590413943,0.8481235086627243,0.3595743,0.4,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip/whole_image,144,0.29285811546840956,0.7210875090777051,0.5664703,0.8,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip/whole_image,144,0.3030433006535948,0.7113873327108622,0.5591334,0.8,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip/whole_image,144,0.38517156862745094,0.6331699346405228,0.9309049,1.6,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip/whole_image,144,0.39071350762527235,0.6278918974997407,0.92637473,1.6,0.0
linear,fold_anchored_w0.3_rate_qmean,vg_scale/siglip/whole_image,144,0.06040985838779957,0.942466801535429,0.8796327,0.8836416,0.0032679738562091504
svm,fold_anchored_w0.3_rate_qmean,vg_scale/siglip/whole_image,144,0.0690291394335512,0.9342579624442369,0.86349565,0.86773914,0.008033769063180827
