head_arm,offset,env,inclusion_k,n,mean_gap,collapse_rate
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,-3,7344,-0.028090209,0.39950980392156865
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,-2,7344,-0.03901934,0.3650599128540305
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,-1,7344,-0.050912105,0.33306100217864926
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,0,7344,-0.0645994,0.26348039215686275
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,1,7344,-0.087986045,0.14242919389978215
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,2,7344,-0.13792619,0.11778322440087145
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,3,7344,-0.2177528,0.10607298474945534
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,4,7344,-0.26441652,0.09912854030501089
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,5,7344,-0.26427507,0.09041394335511982
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,6,7344,-0.21758682,0.082380174291939
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,7,7344,-0.17976409,0.07706971677559912
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,8,7344,-0.14927348,0.07393790849673203
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,9,7344,-0.12130344,0.07107843137254902
linear,-3,vg_scale/siglip+dinov3_patch/max_patch,10,7344,-0.09729391,0.07706971677559912
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-7,7344,-0.003969431,0.30691721132897604
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-6,7344,-0.0057515656,0.25449346405228757
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-5,7344,-0.008691108,0.20860566448801743
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-4,7344,-0.013871663,0.17619825708061002
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-3,7344,-0.023541192,0.15236928104575165
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-2,7344,-0.040934913,0.12513616557734206
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,-1,7344,-0.072465144,0.0951797385620915
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,0,7344,-0.13585934,0.013888888888888888
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,1,7344,-0.2542681,0.0005446623093681918
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,2,7344,-0.3938733,0.0
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,3,7344,-0.45632496,0.0
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,4,7344,-0.41197813,0.004221132897603486
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,5,7344,-0.30011383,0.01715686274509804
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,6,7344,-0.20759109,0.05010893246187364
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,7,7344,-0.14291973,0.11601307189542484
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,8,7344,-0.09775987,0.19934640522875818
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,9,7344,-0.066814676,0.30242374727668847
linear,-3,vg_scale/siglip+dinov3_patch/whole_image,10,7344,-0.046538536,0.40318627450980393
linear,-3,vg_scale/siglip/whole_image,-7,7344,-0.010908292,0.24822984749455337
linear,-3,vg_scale/siglip/whole_image,-6,7344,-0.014118533,0.2332516339869281
linear,-3,vg_scale/siglip/whole_image,-5,7344,-0.018704792,0.21949891067538127
linear,-3,vg_scale/siglip/whole_image,-4,7344,-0.025762457,0.19784858387799564
linear,-3,vg_scale/siglip/whole_image,-3,7344,-0.037571214,0.17143246187363834
linear,-3,vg_scale/siglip/whole_image,-2,7344,-0.05395847,0.14270152505446623
linear,-3,vg_scale/siglip/whole_image,-1,7344,-0.075189404,0.11710239651416122
linear,-3,vg_scale/siglip/whole_image,0,7344,-0.106084146,0.06222766884531591
linear,-3,vg_scale/siglip/whole_image,1,7344,-0.16121098,0.01906318082788671
linear,-3,vg_scale/siglip/whole_image,2,7344,-0.2643511,0.013480392156862746
linear,-3,vg_scale/siglip/whole_image,3,7344,-0.35661817,0.011301742919389977
linear,-3,vg_scale/siglip/whole_image,4,7344,-0.37800947,0.008850762527233115
linear,-3,vg_scale/siglip/whole_image,5,7344,-0.32215917,0.006944444444444444
linear,-3,vg_scale/siglip/whole_image,6,7344,-0.24303554,0.006127450980392157
linear,-3,vg_scale/siglip/whole_image,7,7344,-0.18647209,0.007080610021786492
linear,-3,vg_scale/siglip/whole_image,8,7344,-0.13719738,0.011574074074074073
linear,-3,vg_scale/siglip/whole_image,9,7344,-0.09707693,0.046296296296296294
linear,-3,vg_scale/siglip/whole_image,10,7344,-0.06828125,0.12990196078431374
