tier,cell,class_id,source,method,k,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,d128,spods/stamp_00612_1,spods,d128_500_sift,500,31,49968,0.06451612903225806,0.05168609840800249,1,0.06451612903225806,0.06451612903225806,0.06451612903225806
m,d128,spods/stamp_00612_1,spods,d128_1000_sift,1000,31,49968,0.22580645161290322,0.18432720796209562,1,0.1935483870967742,0.22580645161290322,0.22580645161290322
m,d128,spods/stamp_00612_1,spods,d128_2000_sift,2000,31,49968,0.5483870967741935,0.45560736022981496,1,0.25806451612903225,0.5483870967741935,0.5483870967741935
m,d128,spods/stamp_00769_1,spods,d128_alone,,31,49968,,0.14815476456969218,2,0.0967741935483871,0.22580645161290322,0.45161290322580644
m,d128,spods/stamp_00769_1,spods,sift_exhaustive,,31,49968,,0.8001805085090261,1,0.3225806451612903,0.7741935483870968,0.967741935483871
m,d128,spods/stamp_00769_1,spods,d128_100_sift,100,31,49968,0.45161290322580644,0.4884675086426088,1,0.3225806451612903,0.45161290322580644,0.45161290322580644
m,d128,spods/stamp_00769_1,spods,d128_500_sift,500,31,49968,0.6774193548387096,0.6808248123373187,1,0.3225806451612903,0.6774193548387096,0.6774193548387096
m,d128,spods/stamp_00769_1,spods,d128_1000_sift,1000,31,49968,0.9032258064516129,0.8543286057666369,1,0.3225806451612903,0.9032258064516129,0.9032258064516129
m,d128,spods/stamp_00769_1,spods,d128_2000_sift,2000,31,49968,0.967741935483871,0.8637661134017759,1,0.3225806451612903,0.967741935483871,0.967741935483871
m,d128,spods/stamp_00931_1,spods,d128_alone,,30,49968,,0.6343966272108023,1,0.3333333333333333,0.7333333333333333,0.8333333333333334
m,d128,spods/stamp_00931_1,spods,sift_exhaustive,,30,49968,,0.7143895883992859,1,0.26666666666666666,0.9333333333333333,1.0
m,d128,spods/stamp_00931_1,spods,d128_100_sift,100,30,49968,0.8333333333333334,0.7704189083059941,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
m,d128,spods/stamp_00931_1,spods,d128_500_sift,500,30,49968,0.9333333333333333,0.723334089192559,1,0.26666666666666666,0.9333333333333333,0.9333333333333333
m,d128,spods/stamp_00931_1,spods,d128_1000_sift,1000,30,49968,0.9333333333333333,0.723334089192559,1,0.26666666666666666,0.9333333333333333,0.9333333333333333
m,d128,spods/stamp_00931_1,spods,d128_2000_sift,2000,30,49968,0.9666666666666667,0.6988955576151417,1,0.26666666666666666,0.9333333333333333,0.9666666666666667
m,d128,staver/stamp_stampds-00213_1,staver,d128_alone,,17,49968,,0.01439882572983509,48,0.0,0.058823529411764705,0.058823529411764705
m,d128,staver/stamp_stampds-00213_1,staver,sift_exhaustive,,17,49968,,0.1209636650729271,20,0.0,0.47058823529411764,0.8235294117647058
m,d128,staver/stamp_stampds-00213_1,staver,d128_100_sift,100,17,49968,0.058823529411764705,0.07199686494552135,1,0.058823529411764705,0.058823529411764705,0.058823529411764705
