dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,siglip2_l,clock,3,1,a clock,2100,144,0.068571,0.047569,0.318635,0.006135,0.3125,0.891892,0.6875,0.776471,0.263378,0.795029,0.917668
vg_scale_any,siglip2_l,dog,0,1,a dog,2100,161,0.076667,0.029733,0.291029,0.104693,0.186335,0.392216,0.813665,0.529293,0.271139,0.785923,0.911624
vg_scale_any,siglip2_l,dog,1,1,a dog,2100,152,0.072381,0.029733,0.273114,0.095483,0.177632,0.401929,0.822368,0.539957,0.247393,0.799173,0.909246
vg_scale_any,siglip2_l,dog,2,1,a dog,2100,138,0.065714,0.029733,0.280038,0.098879,0.181159,0.368078,0.818841,0.507865,0.25267,0.803968,0.906026
vg_scale_any,siglip2_l,dog,3,1,a dog,2100,148,0.070476,0.029733,0.300551,0.097848,0.202703,0.381877,0.797297,0.516411,0.278592,0.768919,0.900359
vg_scale_any,siglip2_l,backpack,0,1,a backpack,2100,153,0.072857,0.008322,0.480901,0.297894,0.183007,0.177305,0.816993,0.291375,0.421453,0.525611,0.842953
vg_scale_any,siglip2_l,backpack,1,1,a backpack,2100,140,0.066667,0.008322,0.512245,0.297959,0.214286,0.158501,0.785714,0.263789,0.480612,0.444529,0.817941
vg_scale_any,siglip2_l,backpack,2,1,a backpack,2100,144,0.068571,0.008322,0.512611,0.290389,0.222222,0.164706,0.777778,0.271845,0.46498,0.444687,0.82096
vg_scale_any,siglip2_l,backpack,3,1,a backpack,2100,153,0.072857,0.008322,0.4851,0.282486,0.202614,0.181548,0.797386,0.295758,0.470377,0.481949,0.825876
vg_scale_any,siglip2_l,stop sign,0,1,a stop sign,2100,168,0.08,0.044088,0.265528,0.063147,0.202381,0.523438,0.797619,0.632075,0.22412,0.797811,0.946077
vg_scale_any,siglip2_l,stop sign,1,1,a stop sign,2100,147,0.07,0.044088,0.300417,0.069124,0.231293,0.455645,0.768707,0.572152,0.241314,0.757058,0.949605
vg_scale_any,siglip2_l,stop sign,2,1,a stop sign,2100,140,0.066667,0.044088,0.210204,0.060204,0.15,0.50211,0.85,0.6313,0.193367,0.83231,0.956028
vg_scale_any,siglip2_l,stop sign,3,1,a stop sign,2100,165,0.078571,0.044088,0.261123,0.067183,0.193939,0.505703,0.806061,0.621495,0.235894,0.798125,0.940052
vg_scale_any,siglip2_l,kite,0,1,a kite in the sky,2100,163,0.077619,0.038384,0.0656,0.01652,0.04908,0.828877,0.95092,0.885714,0.063019,0.964244,0.985662
vg_scale_any,siglip2_l,kite,1,1,a kite in the sky,2100,151,0.071905,0.038384,0.047479,0.014366,0.033113,0.83908,0.966887,0.898462,0.041322,0.972216,0.988552
vg_scale_any,siglip2_l,kite,2,1,a kite in the sky,2100,143,0.068095,0.038384,0.061887,0.019928,0.041958,0.778409,0.958042,0.858934,0.056777,0.963136,0.989294
vg_scale_any,siglip2_l,kite,3,1,a kite in the sky,2100,140,0.066667,0.038384,0.065816,0.015816,0.05,0.810976,0.95,0.875,0.060204,0.95829,0.985153
