geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
siglip2_l/whole_image,binary,late 61-100,0.40,0.4,0.032437828125,0.01970099033198519,48,regret
siglip2_l/whole_image,binary,late 61-100,0.50,0.5,0.03238672604166667,0.01893265356173198,48,regret
siglip2_l/whole_image,binary,late 61-100,0.60,0.6,0.03614976145833333,0.016987351235646393,48,regret
siglip2_l/whole_image,binary,late 61-100,0.70,0.7,0.04129263385416667,0.01785016121830876,48,regret
siglip2_l/whole_image,binary,mid 26-60,0.30,0.3,0.02950808273809524,0.01476197612204109,48,regret
siglip2_l/whole_image,binary,mid 26-60,0.40,0.4,0.034919961904761904,0.020658110284122372,48,regret
siglip2_l/whole_image,binary,mid 26-60,0.50,0.5,0.03942314702380952,0.02372324009075002,48,regret
siglip2_l/whole_image,binary,mid 26-60,0.60,0.6,0.04168215595238095,0.019071634695752973,48,regret
siglip2_l/whole_image,binary,mid 26-60,0.70,0.7,0.04444874047619048,0.021577640097834486,48,regret
siglip2_l/whole_image,binary,deep 101-150,0.30,0.3,75.37333333333333,0.18912264773560195,48,n_cal_scores
siglip2_l/whole_image,binary,deep 101-150,0.40,0.4,100.35833333333333,0.17849647869860433,48,n_cal_scores
siglip2_l/whole_image,binary,deep 101-150,0.50,0.5,125.46333333333332,0.15586864810151044,48,n_cal_scores
siglip2_l/whole_image,binary,deep 101-150,0.60,0.6,150.63416666666666,0.18652286761103626,48,n_cal_scores
siglip2_l/whole_image,binary,deep 101-150,0.70,0.7,175.68416666666667,0.18101173505314727,48,n_cal_scores
siglip2_l/whole_image,binary,early 1-25,0.30,0.3,9.178947368421053,0.2858456637234201,48,n_cal_scores
siglip2_l/whole_image,binary,early 1-25,0.40,0.4,12.09346282372598,0.3465882211153709,48,n_cal_scores
siglip2_l/whole_image,binary,early 1-25,0.50,0.5,15.033046157059315,0.33142179135744465,48,n_cal_scores
siglip2_l/whole_image,binary,early 1-25,0.60,0.6,18.042575187969927,0.35466601546756793,48,n_cal_scores
siglip2_l/whole_image,binary,early 1-25,0.70,0.7,21.38982873851295,0.49968150895998475,48,n_cal_scores
siglip2_l/whole_image,binary,late 61-100,0.30,0.3,48.31979166666667,0.24983815683343702,48,n_cal_scores
siglip2_l/whole_image,binary,late 61-100,0.40,0.4,64.41145833333333,0.19302727823249227,48,n_cal_scores
siglip2_l/whole_image,binary,late 61-100,0.50,0.5,80.48020833333334,0.23400754291655798,48,n_cal_scores
siglip2_l/whole_image,binary,late 61-100,0.60,0.6,96.64375,0.22351757510983125,48,n_cal_scores
siglip2_l/whole_image,binary,late 61-100,0.70,0.7,112.69687499999999,0.25273109290142554,48,n_cal_scores
siglip2_l/whole_image,binary,mid 26-60,0.30,0.3,25.804761904761904,0.22699558096190817,48,n_cal_scores
siglip2_l/whole_image,binary,mid 26-60,0.40,0.4,34.39404761904762,0.22496843669833583,48,n_cal_scores
siglip2_l/whole_image,binary,mid 26-60,0.50,0.5,43.02142857142857,0.1967605649781636,48,n_cal_scores
siglip2_l/whole_image,binary,mid 26-60,0.60,0.6,51.6202380952381,0.19986607181753374,48,n_cal_scores
siglip2_l/whole_image,binary,mid 26-60,0.70,0.7,60.15714285714285,0.23353278079261675,48,n_cal_scores
