arm,geometry,n_cells
0.30,siglip2_l/whole_image,48
0.40,siglip2_l/whole_image,48
0.50,siglip2_l/whole_image,48
0.60,siglip2_l/whole_image,48
0.70,siglip2_l/whole_image,48
